age,backhand,birthplace,f_name,finals_career,ht,l_hand,l_name,loss_career,prize_career,rank_2020,rank_career,titles_career,win_career,wt,yr_pro
32,Two-Handed Backhand,Serbia,Novak,34,(188cm),Right-Handed,Djokovic,187,143059955.0,1,1,78,906,(77kg),2003
21,Two-Handed Backhand,Norway,Casper,1,(183cm),Right-Handed,Ruud,43,1699038.0,45,45,0,42,(77kg),2015
31,Two-Handed Backhand,France,Adrian,8,(180cm),Left-Handed,Mannarino,223,7173409.0,44,22,1,190,(79kg),2004
27,Two-Handed Backhand,Serbia,Filip,3,(185cm),Right-Handed,Krajinovic,70,3205462.0,39,26,0,71,(75kg),2008
21,Two-Handed Backhand,France,Ugo,0,(188cm),Left-Handed,Humbert,28,1233014.0,43,43,1,24,(73kg),2016
32,Two-Handed Backhand,Spain,Albert,6,(188cm),Left-Handed,Ramos-Vinolas,233,7570068.0,42,17,2,212,(76kg),2007
30,Two-Handed Backhand,Australia,John,2,(183cm),Right-Handed,Millman,92,3664780.0,41,33,0,75,(79kg),2006
32,Two-Handed Backhand,USA,Sam,9,(198cm),Right-Handed,Querrey,300,12397705.0,38,11,10,372,(95kg),2006
24,Two-Handed Backhand,Serbia,Laslo,0,(188cm),Right-Handed,Djere,51,2100236.0,35,27,1,43,(82kg),2013
22,Two-Handed Backhand,USA,Reilly,0,(211cm),Right-Handed,Opelka,40,1679785.0,40,31,1,35,(102kg),2015
31,Two-Handed Backhand,Bosnia-Herzegovina,Marin,14,(198cm),Right-Handed,Cilic,273,27822106.0,37,3,18,507,(89kg),2005
22,Two-Handed Backhand,USA,Taylor,3,(193cm),Right-Handed,Fritz,90,3356885.0,36,25,1,86,(86kg),2015
29,Two-Handed Backhand,Germany,Jan-Lennard,0,(193cm),Right-Handed,Struff,149,5512723.0,34,33,0,126,(92kg),2009
29,One-Handed Backhand,England,Daniel,2,(175cm),Right-Handed,Evans,71,2651412.0,33,32,0,60,(75kg),2006
34,Two-Handed Backhand,France,Jo-Wilfried,12,(188cm),Right-Handed,Tsonga,223,22157662.0,46,5,18,464,(93kg),2004
29,Two-Handed Backhand,Montenegro,Milos,14,(196cm),Right-Handed,Raonic,163,19267452.0,32,3,8,346,(98kg),2008
18,Two-Handed Backhand,,Preston,0,(198cm),Left-Handed,Brown,0,7513.0,1513,819,0,0,(82kg),
19,,,Moritz,0,,,Trocker,0,7378.0,1617,1395,0,0,,
21,,,Ivan,0,,,Marrero Curbelo,0,11785.0,1175,1086,0,0,,
23,,,Alexis,0,,,Boureau,0,7288.0,1513,1332,0,0,,
23,,,Georg,0,,,Winkler,0,9264.0,1343,1069,0,0,,
19,Two-Handed Backhand,,Ondrej,0,,Right-Handed,Styler,0,6048.0,995,694,0,0,,
25,Two-Handed Backhand,,Quentin,0,(175cm),Right-Handed,Gueydan,0,7199.0,1515,1255,0,0,(70kg),
25,Two-Handed Backhand,Mexico,Ivar Jose,0,,Right-Handed,Aramburu Contreras,0,8492.0,1478,1234,0,0,(75kg),
19,Two-Handed Backhand,,Nikolay,0,,Right-Handed,Vylegzhanin,0,3612.0,1924,1793,0,0,,
23,,,Javier,0,,,Naser,0,8172.0,1169,1114,0,0,,
26,Two-Handed Backhand,,Bernardo,0,(188cm),Right-Handed,Saraiva,0,47594.0,308,205,0,0,(73kg),
22,Two-Handed Backhand,,Adrian,0,(185cm),Right-Handed,Oetzbach,0,6030.0,1700,1448,0,0,(80kg),
23,,,Gabriele,0,,,Moghini,0,4422.0,1243,1230,0,0,,
18,,,Roi,0,,,Ginat,0,3020.0,1917,1588,0,0,,
19,,,Gianmarco,0,,,Ferrari,0,4156.0,1165,1165,0,0,,
18,,,Terence,0,,,Das,0,2242.0,1917,1353,0,0,,
19,Unknown Backhand,,Gabriele,0,,Right-Handed,Bosio,0,4055.0,1274,1260,0,0,,
20,Unknown Backhand,,Sergey,0,,Ambidextrous,Bolotov,0,4491.0,1333,1030,0,0,,
22,,,Stefano,0,,,Baldoni,0,8206.0,1561,636,0,0,,
23,,,Sheng Hao,0,(175cm),,Zhou,0,14472.0,1209,844,0,0,(68kg),
18,,,Saba,0,,,Purtseladze,0,1716.0,1910,1599,0,0,,
19,,,Bastien,0,,,Presuhn,0,3331.0,1910,1153,0,0,,
24,,,Flemming,0,,,Peters,0,11221.0,1580,1151,0,0,,
25,Two-Handed Backhand,,Ren,0,,Right-Handed,Nakamura,0,10092.0,1448,1229,0,0,,
24,,,Jakob,0,,,Johansson-Holm,0,11334.0,1770,1176,0,0,,
25,Two-Handed Backhand,Italy,Francesco,0,(188cm),Right-Handed,Bessire,0,11730.0,1168,809,0,0,(80kg),
20,,,Amr,0,,,Asrawy,0,1392.0,1800,1800,0,0,,
24,Two-Handed Backhand,,Emmett,0,(183cm),Right-Handed,Ward IV,0,4248.0,1819,1490,0,0,(84kg),
24,,,Shunsuke,0,,,Wakita,0,13608.0,1383,907,0,0,,
19,,,Lorenzo,0,,,Vatteroni,0,1452.0,1892,1852,0,0,,
24,,,Ioannis,0,,,Stergiou,0,12174.0,1622,1396,0,0,,
18,Two-Handed Backhand,,Bora,0,,Right-Handed,Sengul,0,1806.0,1563,1563,0,0,,
19,,,Shamirul Shahril,0,,,Mohd Adam Das,0,1724.0,1892,1850,0,0,,
23,Two-Handed Backhand,,Jurence Zosimo,0,,Left-Handed,Mendoza,0,1980.0,1892,1886,0,0,,
21,Two-Handed Backhand,Israel,Emmanuel,0,(183cm),Right-Handed,Luria,0,6611.0,1892,1294,0,0,(68kg),
,Two-Handed Backhand,,Sanetulla,0,(185cm),Right-Handed,Kutibaev,0,4072.0,1892,1850,0,0,(77kg),
23,Two-Handed Backhand,USA,Aron,0,(183cm),Right-Handed,Hiltzik,0,22047.0,1892,751,0,0,(73kg),
18,,,Carles,0,,,Hernandez,0,1292.0,1892,1819,0,0,,
22,,,Jack,0,,,Gibbens,0,2382.0,1396,1381,0,0,,
19,,,Buvaysar,0,,,Gadamauri,0,2888.0,1892,1545,0,0,,
22,,,Felipe,0,,,Derdoy,0,4520.0,1787,1287,0,0,,
22,Two-Handed Backhand,,Lucas,0,,Right-Handed,Bouquet,0,15482.0,1892,1359,0,0,,
20,,,Andrea,0,,,Bessire,0,6188.0,1428,971,0,0,,
19,,,Artsiom,0,,,Bardzin,0,1760.0,1892,1780,0,0,,
21,Unknown Backhand,Uzbekistan,Sharobiddin,0,(196cm),Right-Handed,Abzalov,0,7489.0,1892,1464,0,0,(88kg),
18,,,Deney,0,,,Wassermann,0,1290.0,1858,1609,0,0,,
21,,,Jordi,0,,,Walder,0,4740.0,1800,1456,0,0,,
24,,,Tim,0,,,Van Der Horst,0,3952.0,1800,1150,0,0,,
18,,,Sahar,0,,,Simon,0,1536.0,1572,1564,0,0,,
25,,,Pavel,0,,,Shchaya-Zubrov,0,2184.0,1370,1356,0,0,,
23,,,Felipe,0,,,Santamaria,0,3460.0,1622,1611,0,0,,
18,,,Youcef,0,,,Rihane,0,1464.0,1291,1283,0,0,,
22,,,Horst,0,,,Rieder,0,5438.0,1671,1326,0,0,,
20,,,Dusan,0,,,Rajic,0,3110.0,1892,1442,0,0,,
25,One-Handed Backhand,India,Suraj R,0,(188cm),Right-Handed,Prabodh,0,18942.0,1858,650,0,0,(79kg),
23,Two-Handed Backhand,,Alan,0,,Right-Handed,Postay,0,2574.0,1858,1507,0,0,,
22,,,Christopher,0,,,Patzanovsky,0,1342.0,1858,1712,0,0,,
22,,,Rayane,0,,,Oumaouche,0,4168.0,1858,1437,0,0,,
22,,,Oscar Gabriel,0,,,Ortiz,0,3199.0,1747,1737,0,0,,
18,,,Lilian,0,,,Marmousez,0,1669.0,1363,1338,0,0,,
22,Two-Handed Backhand,Canada,Raheel,0,(180cm),Right-Handed,Manji,0,8657.0,801,793,0,0,(76kg),
18,Two-Handed Backhand,,Hugo,0,,Right-Handed,Maia,0,2461.0,1609,1570,0,0,,
19,Two-Handed Backhand,,Natthasith,0,(185cm),Right-Handed,Kunsuwan,0,6514.0,1482,1457,0,0,(80kg),
