age,backhand,birthplace,f_name,finals_career,ht,l_hand,l_name,loss_career,prize_career,rank_2020,rank_career,titles_career,win_career,wt,yr_pro
32,Two-Handed Backhand,Serbia,Novak,34,(188cm),Right-Handed,Djokovic,187,143059955.0,1,1,78,906,(77kg),2003
38,One-Handed Backhand,Spain,Feliciano,11,(188cm),Left-Handed,Lopez,448,17350913.0,53,12,7,488,(88kg),1997
22,Two-Handed Backhand,Russia,Alexander,2,(198cm),Right-Handed,Bublik,29,1347179.0,55,48,0,25,(77kg),2016
28,Two-Handed Backhand,Hungary,Marton,1,(188cm),Right-Handed,Fucsovics,73,2970914.0,73,31,1,74,(82kg),2010
24,Two-Handed Backhand,Italy,Lorenzo,0,(191cm),Right-Handed,Sonego,35,1342272.0,52,46,1,25,(76kg),2013
30,Two-Handed Backhand,Slovenia,Aljaz,4,(183cm),Right-Handed,Bedene,128,3890924.0,47,43,0,116,(73kg),2008
26,Two-Handed Backhand,Argentina,Juan Ignacio,1,(180cm),Right-Handed,Londero,28,1402795.0,61,50,1,27,(70kg),2010
30,Two-Handed Backhand,Moldova,Radu,0,(175cm),Right-Handed,Albot,94,3248405.0,51,39,1,73,(69kg),2008
36,Two-Handed Backhand,Spain,Fernando,16,(188cm),Left-Handed,Verdasco,419,17608361.0,49,7,7,550,(90kg),2001
34,One-Handed Backhand,Argentina,Pablo,4,(180cm),Right-Handed,Cuevas,199,8718639.0,46,19,6,226,(78kg),2004
21,Two-Handed Backhand,Norway,Casper,1,(183cm),Right-Handed,Ruud,43,1804318.0,34,34,1,47,(77kg),2015
31,Two-Handed Backhand,France,Adrian,8,(180cm),Left-Handed,Mannarino,224,7190381.0,42,22,1,190,(79kg),2004
27,Two-Handed Backhand,Serbia,Filip,3,(185cm),Right-Handed,Krajinovic,71,3318914.0,33,26,0,74,(75kg),2008
21,Two-Handed Backhand,France,Ugo,0,(188cm),Left-Handed,Humbert,29,1256294.0,44,43,1,25,(73kg),2016
32,Two-Handed Backhand,Spain,Albert,6,(188cm),Left-Handed,Ramos-Vinolas,234,7582113.0,41,17,2,213,(76kg),2007
30,Two-Handed Backhand,Australia,John,2,(183cm),Right-Handed,Millman,92,3664780.0,40,33,0,75,(79kg),2006
18,Two-Handed Backhand,,Preston,0,(198cm),Left-Handed,Brown,0,7513.0,1928,1927,0,0,(82kg),
19,,,Moritz,0,,,Trocker,0,7378.0,1926,1292,0,0,,
21,,,Ivan,0,,,Marrero Curbelo,0,11785.0,1922,1191,0,0,,
23,,,Alexis,0,,,Boureau,0,7288.0,1926,1247,0,0,,
23,,,Georg,0,,,Winkler,0,9264.0,1918,1051,0,0,,
19,Two-Handed Backhand,,Ondrej,0,,Right-Handed,Styler,0,6048.0,1922,1117,0,0,,
25,Two-Handed Backhand,,Quentin,0,(175cm),Right-Handed,Gueydan,0,7199.0,1922,1441,0,0,(70kg),
25,Two-Handed Backhand,Mexico,Ivar Jose,0,,Right-Handed,Aramburu Contreras,0,8546.0,1922,1457,0,0,(75kg),
19,Two-Handed Backhand,,Nikolay,0,,Right-Handed,Vylegzhanin,0,3612.0,1918,1793,0,0,,
23,,,Javier,0,,,Naser,0,8172.0,1918,1417,0,0,,
26,Two-Handed Backhand,,Bernardo,0,(188cm),Right-Handed,Saraiva,0,47594.0,1911,694,0,0,(73kg),
22,Two-Handed Backhand,,Adrian,0,(185cm),Right-Handed,Oetzbach,0,6030.0,1911,1251,0,0,(80kg),
23,,,Gabriele,0,,,Moghini,0,4422.0,1911,1528,0,0,,
18,,,Roi,0,,,Ginat,0,3020.0,1911,1588,0,0,,
19,,,Gianmarco,0,,,Ferrari,0,4156.0,1918,1483,0,0,,
18,,,Terence,0,,,Das,0,2242.0,1911,1353,0,0,,
19,Unknown Backhand,,Gabriele,0,,Right-Handed,Bosio,0,4055.0,1911,1530,0,0,,
20,Unknown Backhand,,Sergey,0,,Ambidextrous,Bolotov,0,4491.0,1911,1911,0,0,,
22,,,Stefano,0,,,Baldoni,0,8206.0,1556,636,0,0,,
23,,,Sheng Hao,0,(175cm),,Zhou,0,14472.0,1905,1057,0,0,(68kg),
